model,seed,n_train,n_test,best_params,elapsed_sec,precision_bug,recall_bug,f1_bug,precision_clean,recall_clean,f1_clean,f1_macro,gmean_recall,roc_auc
RandomForest,6,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",99.82382580009289,0.8023952095808383,0.8933333333333333,0.8454258675078864,0.8796992481203008,0.78,0.8268551236749117,0.836140495591399,0.8347454701883682,0.9081244444444444
LogisticRegression,6,3500,1500,"{'C': 10.0, 'penalty': 'l1', 'solver': 'liblinear'}",4.624762299936265,0.68625,0.732,0.7083870967741935,0.7128571428571429,0.6653333333333333,0.6882758620689655,0.6983314794215796,0.6978710482603502,0.7767395555555555
RandomForest,7,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",100.07733350002673,0.8007380073800738,0.868,0.8330134357005758,0.8558951965065502,0.784,0.8183716075156576,0.8256925216081168,0.8249315123087492,0.9014257777777778
LogisticRegression,7,3500,1500,"{'C': 100.0, 'penalty': 'l1', 'solver': 'liblinear'}",6.003212100011297,0.6921017402945113,0.6893333333333334,0.6907147628590514,0.6905710491367862,0.6933333333333334,0.6919494344644045,0.691332098661728,0.6913304403668175,0.7580124444444445
RandomForest,8,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",100.05966869997792,0.7896634615384616,0.876,0.8305941845764855,0.8607784431137725,0.7666666666666667,0.8110014104372355,0.8207977975068605,0.8195120499419152,0.9059555555555556
LogisticRegression,8,3500,1500,"{'C': 10.0, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",8.206411799998023,0.6871008939974457,0.7173333333333334,0.7018917155903457,0.704323570432357,0.6733333333333333,0.6884798909338786,0.6951858032621121,0.6949852116732014,0.7647768888888888
RandomForest,9,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",100.48855959996581,0.8052109181141439,0.8653333333333333,0.8341902313624678,0.8544668587896254,0.7906666666666666,0.8213296398891967,0.8277599356258323,0.8271579185513623,0.9118595555555555
LogisticRegression,9,3500,1500,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",7.052866699988954,0.6746987951807228,0.672,0.6733466933867736,0.6733067729083665,0.676,0.6746506986027944,0.6739986959947839,0.6739970326344175,0.7569066666666666
RandomForest,10,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",100.19382490008138,0.8163771712158809,0.8773333333333333,0.8457583547557841,0.8674351585014409,0.8026666666666666,0.8337950138504155,0.8397766843030998,0.8391699602715902,0.9136497777777778
LogisticRegression,10,3500,1500,"{'C': 10.0, 'penalty': 'l2', 'solver': 'lbfgs'}",4.604571499978192,0.6835278858625162,0.7026666666666667,0.6929651545036161,0.6941015089163237,0.6746666666666666,0.6842461122379987,0.6886056333708074,0.6885243479919775,0.7583235555555555
