mean_cv_score,std_cv_score,params,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators
0.7492447324634648,0.016477698541379565,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",3.0,log2,4,10,100
0.7492447324634648,0.016477698541379565,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",3.0,sqrt,4,10,100
0.7492447324634648,0.016477698541379565,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",3.0,sqrt,4,2,100
0.7488959442127144,0.01648027413681583,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",3.0,sqrt,1,2,100
0.7488959442127144,0.01648027413681583,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",3.0,log2,1,10,100
0.7488959442127144,0.01648027413681583,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",3.0,log2,1,2,100
0.7488959442127144,0.01648027413681583,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",3.0,sqrt,1,10,100
0.7457051131727852,0.0204192412310903,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",3.0,sqrt,4,2,200
0.7457051131727852,0.0204192412310903,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",3.0,log2,4,10,200
0.7457051131727852,0.0204192412310903,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",3.0,log2,4,2,200
0.7457051131727852,0.0204192412310903,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",3.0,sqrt,4,10,200
0.7457042938285149,0.02068727407304146,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",3.0,sqrt,1,2,200
0.7457042938285149,0.02068727407304146,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",3.0,log2,1,2,200
0.7456863095539127,0.02070416474392867,"{'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",3.0,sqrt,1,10,200
0.7456863095539127,0.02070416474392867,"{'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",3.0,log2,1,10,200
